episode,reward,avg_reward,epsilon,duration
171,-4.616584028184413,-192.46741744384573,0.42437208406280985,0.8758015632629395
172,60.424975053787236,-186.76310679208893,0.4222502236424958,0.8832266330718994
173,-36.061926802687346,-183.2338001867331,0.42013897252428334,0.8658132553100586
174,-12.875030533477663,-180.27304132888497,0.4180382776616619,0.8527677059173584
175,-17.99888439531624,-178.85094791014154,0.4159480862733536,0.8520991802215576
176,-99.3295241883695,-171.8108127470355,0.41386834584198684,0.8959779739379883
177,-65.31342333096265,-170.0765839008327,0.4117990041127769,0.942753791809082
178,1.8671161955297002,-160.8111943734709,0.40974000909221303,0.9757649898529053
179,-26.350516744956366,-156.7395480573263,0.40769130904675194,0.935570240020752
180,35.35457701788098,-151.8488171400867,0.40565285250151817,0.9384374618530273
181,33.115417572118346,-144.42214657912888,0.4036245882390106,0.9092943668365479
182,-37.7030699346885,-131.6243506464213,0.4016064652978155,0.9261715412139893
183,-179.91610634892433,-131.47041457259468,0.3995984329713264,0.8949034214019775
184,34.214123153992,-125.56168282774652,0.3976004408064698,0.8881347179412842
185,-144.49619280833005,-124.03469676611388,0.39561243860243744,0.8844234943389893
186,-2.361295978605746,-121.43266969875808,0.3936343764094253,0.8818886280059814
187,-43.029289783976964,-118.20016893179978,0.39166620452737816,0.8790700435638428
188,-72.8997779321596,-115.92893731595355,0.3897078735047413,0.8776757717132568
189,30.751129322618247,-111.1444642778706,0.3877593341372176,0.8724710941314697
190,-7.437947900585826,-107.03111304843205,0.3858205374665315,0.8725752830505371
191,-93.85658934253453,-106.86825190977979,0.38389143477919885,0.8791017532348633
192,9.837096259862186,-104.76369679717202,0.3819719776053028,0.8858270645141602
193,43.238809640899305,-102.12032023447904,0.3800621177172763,0.8921170234680176
194,-43.95420020359754,-95.62714070975635,0.37816180712868996,0.8821868896484375
195,-47.97053397222608,-93.10057319275887,0.37627099809304654,0.8791108131408691
196,8.190023591190581,-89.11796756773592,0.3743896431025813,0.8804583549499512
197,30.068343442797662,-84.35934324602935,0.37251769488706843,0.8636493682861328
198,14.654669189274315,-80.06626904097274,0.3706551064126331,0.8598949909210205
199,28.317175528414552,-75.70228950417975,0.36880183088056995,0.8630764484405518
200,19.082931959934534,-69.18912882846223,0.3669578217261671,0.8583340644836426
201,59.93388383176923,-66.93560508374499,0.36512303261753626,0.8590531349182129
202,-104.78915598343312,-66.6308576359451,0.3632974174544486,0.8874404430389404
203,43.01727600154281,-64.1248000276685,0.3614809303671764,0.955843448638916
204,-3.6210120684206473,-63.11532251051518,0.3596735257153405,0.9590437412261963
205,-64.9918597331941,-58.86336000248197,0.3578751580867638,0.9963643550872803
206,22.364409761436285,-50.471179918817825,0.35608578229633,0.9417657852172852
207,-2.7925373456180083,-50.226901800579974,0.3543053533848483,0.8717710971832275
208,9.602253136605029,-46.179813818511384,0.35253382661792404,0.8698902130126953
209,194.58598765072227,-40.967015055165454,0.3507711574848344,0.8204178810119629
210,13.885275368958716,-37.88845223434642,0.34901730169741024,0.8686885833740234
211,11.445814790584151,-32.947154889361926,0.3472722151889232,0.8475711345672607
212,-15.452424239918585,-29.52086280645244,0.3455358541129786,0.8764970302581787
213,4.225672261238103,-27.53732393014617,0.3438081748424137,0.8468887805938721
214,-22.6669170801267,-23.61234339333027,0.3420891339682016,0.859851598739624
215,3.0628153029158725,-19.701584040181338,0.3403786882983606,0.8567821979522705
216,15.142973494648935,-14.64001882675439,0.3386767948568688,0.8515667915344238
217,11.239936517000203,-14.7036247459881,0.33698341088258443,0.866973876953125
218,-9.671600219860672,-12.755641910958662,0.3352984938281715,0.8553152084350586
219,-23.749090352647002,-13.130696648362651,0.33362200135903064,0.8512675762176514
220,-38.71005835998058,-13.986061873295156,0.33195389135223546,0.8726387023925781
221,-26.956003995679318,-10.766652079260718,0.3302941218954743,0.8636927604675293
222,1.46116792869568,-10.043737211538103,0.32864265128599696,0.8696024417877197
223,-68.97162217839806,-8.650269730588045,0.326999438029567,0.8664412498474121
224,-21.227132295325397,-9.068682671746608,0.3253644408394192,0.8684344291687012
225,-6.562870586842294,-9.228477512145039,0.3237376186352221,0.8746607303619385
226,-89.49316325697302,-9.61823511397801,0.322118930542046,0.863046407699585
227,-23.740881192564956,-9.679565781004351,0.32050833588933575,0.8707671165466309
228,-18.033882527679204,-10.220488327540082,0.31890579420988907,0.8714351654052734
229,-15.438582653246819,-10.417699315844473,0.3173112652388396,0.9248595237731934
230,-36.90917735739797,-10.76054068123288,0.3157247089126454,0.9748408794403076
231,-8.76282043109834,-11.04159390529431,0.3141460853680822,0.9419152736663818
232,-23.04168840832263,-10.810551903571929,0.3125753549412418,0.97977614402771
233,-1.7905792240723954,-10.87732120804749,0.31101247816653554,0.9437341690063477
234,-536.1067583440542,-16.29658956960104,0.30945741577570285,0.19567561149597168
235,-163.63140400740502,-17.852130347600202,0.3079101286968243,0.8465590476989746
236,-15.25047989848256,-17.44183760285191,0.3063705780533402,0.8796899318695068
237,-385.5343062347472,-21.440335162354632,0.30483872516307353,0.17038416862487793
238,-16.68746795605123,-21.56935524049028,0.3033145315372582,0.8683316707611084
239,-6.6187524400576905,-21.503448981408024,0.3017979588795719,0.85345458984375
240,42.43035677672178,-21.321487582729375,0.30028896908517405,0.85935378074646
241,-12.88194831188023,-21.933938195717698,0.2987875242397482,0.860368013381958
242,12.890383561074742,-21.771133500875894,0.29729358661854943,0.8608031272888184
243,-3.2884434965178357,-21.844871755007645,0.29580711868545667,0.8650262355804443
244,-14.533160559900104,-22.287908590866987,0.2943280830920294,0.869910717010498
245,-7.440143215090032,-22.02807474880292,0.29285644267656924,0.86765456199646
246,11.402865847021346,-22.106554630699744,0.2913921604631864,0.941596269607544
247,-0.057319311492143754,-21.95446769431531,0.28993519966087045,0.9563875198364258
248,36.37230434075744,-21.59045470885298,0.2884855236625661,0.8869466781616211
249,14.533101344414064,-21.848079963068653,0.28704309604425327,0.8818528652191162
250,17.132211817361416,-21.75230641484073,0.285607880564032,0.8882453441619873
251,6.005704803325244,-21.648498128948724,0.28417984116121187,0.8772416114807129
252,70.64801276934148,-20.885374926289533,0.2827589419554058,0.877338171005249
253,-12.140681101076296,-20.61356977025791,0.28134514724562876,0.8814382553100586
254,-1.6300911242812859,-20.738861701612162,0.2799384215094006,0.8749194145202637
255,-8.920444204539052,-20.773931231403346,0.27853872940185365,0.8622748851776123
256,67.25784723219276,-20.189891643657155,0.27714603575484437,0.8738329410552979
257,21.345540077358486,-18.991383087283747,0.2757603055760701,0.8685128688812256
258,36.80506867767126,-18.231846387458962,0.2743815040481898,0.8719995021820068
259,-28.634281533837317,-17.9982418891862,0.2730095965279488,0.864799976348877
260,12.62451753058285,-18.135328397059812,0.27164454854530906,0.8607125282287598
261,69.19303947073222,-17.36664522776678,0.2702863258025825,0.8734235763549805
262,38.93736151364446,-17.439021966511756,0.2689348941735696,0.8744189739227295
263,65.96323118817807,-16.330187624002246,0.26759021970270175,0.892087459564209
264,6.537845035016538,-15.667197111098467,0.2662522686041882,0.8858766555786133
265,12.352213011987509,-15.267661463030054,0.2649210072611673,0.8732635974884033
266,21.13687053129822,-15.261716017768158,0.26359640222486147,0.8993356227874756
267,14.899690060809256,-15.106822094021735,0.26227842021373715,0.8708887100219727
268,21.011490548893818,-14.301643487111106,0.2609670281126685,0.8815813064575195
269,32.23155432653428,-14.29301448186226,0.25966219297210513,0.8939697742462158
270,29.648116068363194,-13.764564549520983,0.2583638820072446,0.9887561798095703
271,-2.844845569759599,-13.746847164936735,0.2570720625972084,0.9605798721313477
272,70.3532743248418,-13.64756417222619,0.25578670228422234,1.0125017166137695
273,14.913083088517197,-13.137814073314143,0.25450776877280124,0.9791712760925293
274,-0.4822751610278999,-13.013886519589644,0.2532352299289372,0.9576747417449951
275,7.55463144314291,-12.758351361205053,0.2519690537792925,0.9527807235717773
276,40.104718980312356,-11.364008929518233,0.2507092085103961,0.8952498435974121
277,6.519079603634793,-10.645683900172262,0.2494556624678441,0.8802616596221924
278,207.59311232429744,-8.588423938884581,0.24820838415550486,0.8229079246520996
279,43.32638968800009,-7.891654874555015,0.24696734223472733,0.8868317604064941
280,27.67174634144456,-7.968483181319382,0.2457325055235537,0.8720054626464844
281,6.879570023089656,-8.230841656809671,0.24450384299593592,0.8646671772003174
